State,Total Drivers
Alabama,"4,026,151"
Alaska,"529,281"
Arizona,"5,369,210"
Arkansas,"2,153,929"
California,"27,213,650"
Colorado,"4,235,384"
Connecticut,"2,608,061"
Delaware,"812,529"
District of Columbia,"535,579"
Florida,"15,560,628"
Georgia,"7,261,266"
Hawaii,"943,173"
Idaho,"1,252,535"
Illinois,"8,546,932"
Indiana,"4,589,405"
Iowa,"2,274,431"
Kansas,"2,154,260"
Kentucky,"3,030,329"
Louisiana,"3,435,168"
Maine,"1,046,129"
Maryland,"4,463,862"
Massachusetts,"4,950,056"
Michigan,"7,141,494"
Minnesota,"4,273,027"
Mississippi,"2,058,036"
Missouri,"4,274,389"
Montana ,"811,851"
Nebraska,"1,430,818"
Nevada,"2,054,421"
New Hampshire,"1,195,211"
New Jersey ,"6,377,413"
New Mexico  ,"1,449,711"
New York,"12,194,360"
North Carolina,"7,620,001"
North Dakota ,"556,064"
Ohio ,"8,032,792"
Oklahoma,"2,522,670"
Oregon,"3,002,014"
Pennsylvania,"8,987,676"
Rhode Island ,"761,046"
South Carolina ,"3,877,968"
South Dakota,"648,663"
Tennessee,"4,786,973"
Texas,"17,822,760"
Utah ,"2,121,099"
Vermont,"472,633"
Virginia ,"5,888,196"
Washington ,"5,711,136"
West Virginia ,"1,130,389"
Wisconsin  ,"4,296,646"
Wyoming  ,"424,115"
